Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure,Month_Joined,Living_With,Is_Parent,Family_Size,Generation,Total_Accepted_Campaigns,AcceptedAnyCmp,Engagement_Rate,Total_Purchases,Total_Spending,Spend_per_Purchase,Recency_Score,Frequency_Score,Monetary_Score,Avg_RFM
Basic,Married,7500.0,0,0,593,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,47,593,11,Alone,0,1,Generation_X,0,0,0.0,6,61,10.166666666666666,1,1,2,1.3333333333333333
Graduation,Divorced,63033.0,0,0,226,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,64,226,11,Alone,0,0,Baby_Boomers,0,0,0.0,16,1102,68.875,4,3,4,3.6666666666666665
Master,Divorced,59354.0,1,1,226,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,71,226,11,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,15,310,20.666666666666668,4,3,3,3.3333333333333335
Graduation,Married,17323.0,0,0,627,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,36,627,10,Alone,0,1,Millennials,0,0,0.0,5,46,9.2,1,1,1,1.0
PhD,Single,82800.0,0,0,582,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,77,582,11,Alone,0,0,Silent_Generation,3,1,50.0,26,1315,50.57692307692308,1,5,5,3.6666666666666665
Graduation,Married,41850.0,1,1,552,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,43,552,12,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,9,96,10.666666666666666,2,2,2,2.0
Graduation,Together,37760.0,0,0,667,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,77,667,8,Alone,0,1,Silent_Generation,0,0,0.0,13,317,24.384615384615383,1,3,3,2.3333333333333335
Master,Married,76995.0,0,1,458,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,74,458,3,With_Teens,1,2,Baby_Boomers,1,1,16.666666666666664,26,1782,68.53846153846153,2,5,5,4.0
2n Cycle,Single,33812.0,1,0,603,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,38,603,11,With_Kids,1,1,Millennials,0,0,0.0,8,133,16.625,1,2,2,1.6666666666666667
Graduation,Married,37040.0,0,0,690,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,41,690,8,Alone,0,1,Generation_X,0,0,0.0,12,316,26.333333333333332,1,3,3,2.3333333333333335
PhD,Married,58607.0,0,1,553,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,74,553,12,With_Teens,1,2,Baby_Boomers,1,1,16.666666666666664,17,972,57.1764705882353,2,3,4,3.0
PhD,Married,65324.0,0,1,169,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,69,169,1,With_Teens,1,2,Baby_Boomers,0,0,0.0,20,544,27.2,4,4,3,3.6666666666666665
Graduation,Together,40689.0,0,1,468,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,72,468,3,With_Teens,1,2,Baby_Boomers,0,0,0.0,20,444,22.2,2,4,3,3.0
Graduation,Single,18589.0,0,0,543,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,54,543,1,Alone,0,0,Generation_X,0,0,0.0,8,75,9.375,2,2,2,2.0
Graduation,Married,53359.0,1,1,398,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,47,398,5,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,14,257,18.357142857142858,3,3,3,3.0
Graduation,Married,38360.0,1,0,394,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,34,394,5,With_Kids,1,2,Millennials,0,0,0.0,9,131,14.555555555555555,3,2,2,2.3333333333333335
PhD,Married,84618.0,0,0,219,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,58,219,11,Alone,0,1,Baby_Boomers,1,1,16.666666666666664,26,1672,64.3076923076923,4,5,5,4.666666666666667
Master,Divorced,10979.0,0,0,38,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,34,38,5,Alone,0,0,Millennials,0,0,0.0,8,30,3.75,5,2,1,2.6666666666666665
Master,Together,38620.0,0,0,414,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,60,414,5,Alone,0,1,Baby_Boomers,0,0,0.0,11,318,28.90909090909091,3,2,3,2.6666666666666665
Graduation,Together,40548.0,0,1,627,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,53,627,10,With_Teens,1,2,Generation_X,1,1,16.666666666666664,9,120,13.333333333333334,1,2,2,1.6666666666666667
PhD,Divorced,46610.0,0,2,608,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,71,608,10,Alone,1,2,Baby_Boomers,1,1,16.666666666666664,17,302,17.764705882352942,1,3,3,2.3333333333333335
Master,Married,68657.0,0,0,494,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,77,494,2,Alone,0,1,Silent_Generation,0,0,0.0,18,1196,66.44444444444444,2,4,5,3.6666666666666665
Master,Single,49389.0,1,1,304,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,72,304,8,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,6,65,10.833333333333334,3,1,2,2.0
PhD,Married,67353.0,0,1,180,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,53,180,12,With_Teens,1,2,Generation_X,0,0,0.0,28,913,32.607142857142854,4,5,4,4.333333333333333
2n Cycle,Married,23718.0,1,0,300,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,47,300,9,With_Kids,1,2,Generation_X,0,0,0.0,9,81,9.0,3,2,2,2.3333333333333335
Graduation,Widow,42429.0,0,1,138,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,50,138,2,With_Teens,1,1,Generation_X,0,0,0.0,7,67,9.571428571428571,5,1,2,2.6666666666666665
PhD,Divorced,48948.0,0,0,513,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,80,513,2,Alone,0,0,Silent_Generation,2,1,33.33333333333333,24,902,37.583333333333336,2,5,4,3.6666666666666665
Graduation,Married,80011.0,0,1,426,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,43,426,4,With_Teens,1,2,Generation_X,0,0,0.0,21,1395,66.42857142857143,2,4,5,3.6666666666666665
Master,Married,20559.0,1,0,474,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,38,474,3,With_Kids,1,2,Millennials,0,0,0.0,7,53,7.571428571428571,2,1,1,1.3333333333333333
Graduation,Together,21994.0,0,1,552,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,66,552,12,With_Teens,1,2,Baby_Boomers,0,0,0.0,4,22,5.5,2,1,1,1.3333333333333333
PhD,Single,51381.5,0,0,236,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,64,236,11,Alone,0,0,Baby_Boomers,0,0,0.0,9,186,20.666666666666668,4,2,2,2.6666666666666665
Master,Married,7500.0,1,0,270,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,48,270,10,With_Kids,1,2,Generation_X,0,0,0.0,8,31,3.875,4,2,1,2.3333333333333335
Graduation,Single,79941.0,0,0,1,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,47,1,6,Alone,0,0,Generation_X,0,0,0.0,16,984,61.5,5,3,4,4.0
2n Cycle,Married,7500.0,0,0,597,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,27,597,11,Alone,0,1,Millennials,1,1,16.666666666666664,10,122,12.2,1,2,2,1.6666666666666667
Graduation,Together,41728.0,1,0,401,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,401,5,With_Kids,1,2,Generation_X,0,0,0.0,5,55,11.0,3,1,1,1.6666666666666667
Graduation,Single,51381.5,2,1,179,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,72,179,1,Alone,1,3,Baby_Boomers,0,0,0.0,10,124,12.4,4,2,2,2.6666666666666665
PhD,Married,72550.0,1,1,598,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,69,598,11,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,28,1319,47.107142857142854,1,5,5,3.6666666666666665
Graduation,Widow,65486.0,0,1,48,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,66,48,5,With_Teens,1,1,Baby_Boomers,0,0,0.0,17,507,29.823529411764707,5,3,3,3.6666666666666665
Master,Married,79143.0,0,0,687,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,59,687,8,Alone,0,1,Baby_Boomers,0,0,0.0,29,1693,58.37931034482759,1,5,5,3.6666666666666665
Graduation,Single,35790.0,1,0,543,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,46,543,1,With_Kids,1,1,Generation_X,0,0,0.0,7,72,10.285714285714286,2,1,2,1.6666666666666667
Graduation,Divorced,82582.0,0,0,22,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,46,22,6,Alone,0,0,Generation_X,3,1,50.0,21,1617,77.0,5,4,5,4.666666666666667
Graduation,Married,66373.0,1,1,382,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,45,382,6,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,23,606,26.347826086956523,3,5,3,3.6666666666666665
Master,Together,82384.0,0,0,587,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,68,587,11,Alone,0,1,Baby_Boomers,2,1,33.33333333333333,27,1957,72.48148148148148,1,5,5,3.6666666666666665
Graduation,Divorced,70287.0,0,0,453,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,57,453,4,Alone,0,0,Baby_Boomers,1,1,16.666666666666664,21,1093,52.04761904761905,2,4,4,3.3333333333333335
Graduation,Single,27938.0,1,0,62,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,35,62,4,With_Kids,1,1,Millennials,0,0,0.0,6,29,4.833333333333333,5,1,1,2.3333333333333335
Graduation,Single,51381.5,1,0,377,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,41,377,6,With_Kids,1,1,Generation_X,0,0,0.0,7,46,6.571428571428571,3,1,1,1.6666666666666667
PhD,Married,55954.0,0,1,118,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,55,118,3,With_Teens,1,2,Generation_X,0,0,0.0,19,518,27.263157894736842,5,4,3,4.0
Master,Single,75777.0,0,0,360,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,41,360,7,Alone,0,0,Generation_X,3,1,50.0,21,1438,68.47619047619048,3,4,5,4.0
Graduation,Together,66653.0,1,1,660,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,48,660,9,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,22,612,27.818181818181817,1,4,3,2.6666666666666665
Graduation,Single,61823.0,0,1,496,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,71,496,2,With_Teens,1,1,Baby_Boomers,0,0,0.0,24,884,36.833333333333336,2,5,4,3.6666666666666665
PhD,Widow,67680.0,0,1,383,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,72,383,6,With_Teens,1,1,Baby_Boomers,0,0,0.0,19,606,31.894736842105264,3,4,3,3.3333333333333335
Graduation,Together,70666.0,0,0,205,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,75,205,12,Alone,0,1,Baby_Boomers,0,0,0.0,16,1076,67.25,4,3,4,3.6666666666666665
Graduation,Married,25721.0,1,0,404,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,52,404,5,With_Kids,1,2,Generation_X,1,1,16.666666666666664,5,34,6.8,3,1,1,1.6666666666666667
Graduation,Together,32474.0,1,1,49,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,56,49,5,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,4,11,2.75,5,1,1,2.3333333333333335
2n Cycle,Single,88194.0,0,1,102,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,44,102,3,With_Teens,1,1,Generation_X,3,1,50.0,32,1274,39.8125,5,5,5,5.0
Graduation,Together,69096.0,0,1,275,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,65,275,9,With_Teens,1,2,Baby_Boomers,0,0,0.0,18,653,36.27777777777778,4,4,4,4.0
Graduation,Together,74854.0,1,2,447,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,53,447,4,Alone,1,4,Generation_X,0,0,0.0,19,1562,82.21052631578948,2,4,5,3.6666666666666665
Master,Married,66991.0,0,0,656,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,69,656,9,Alone,0,1,Baby_Boomers,0,0,0.0,21,1253,59.666666666666664,1,4,5,3.3333333333333335
2n Cycle,Married,51381.5,1,0,653,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,50,653,9,With_Kids,1,2,Generation_X,0,0,0.0,9,109,12.11111111111111,1,2,2,1.6666666666666667
Graduation,Married,65031.0,0,1,469,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,64,469,3,With_Teens,1,2,Baby_Boomers,0,0,0.0,30,863,28.766666666666666,2,5,4,3.6666666666666665
PhD,Married,60631.0,1,1,450,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,48,450,4,With_Kids_and_Teens,1,3,Generation_X,1,1,16.666666666666664,24,661,27.541666666666668,2,5,4,3.6666666666666665
Graduation,Married,28332.0,0,0,60,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,71,60,4,Alone,0,1,Baby_Boomers,0,0,0.0,8,65,8.125,5,2,2,3.0
Graduation,Divorced,40246.0,1,0,557,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,46,557,12,With_Kids,1,1,Generation_X,0,0,0.0,4,13,3.25,2,1,1,1.3333333333333333
Master,Married,75251.0,0,0,671,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,51,671,8,Alone,0,1,Generation_X,1,1,16.666666666666664,19,1890,99.47368421052632,1,4,5,3.3333333333333335
Graduation,Single,75825.0,0,0,625,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,47,625,10,Alone,0,0,Generation_X,2,1,33.33333333333333,22,2209,100.4090909090909,1,4,5,3.3333333333333335
2n Cycle,Together,26326.0,0,0,298,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,47,298,9,Alone,0,1,Generation_X,0,0,0.0,4,18,4.5,3,1,1,1.6666666666666667
Graduation,Together,56046.0,0,0,543,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,58,543,1,Alone,0,1,Baby_Boomers,2,1,33.33333333333333,21,692,32.95238095238095,2,4,4,3.3333333333333335
Graduation,Single,29760.0,1,0,669,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,38,669,8,With_Kids,1,1,Millennials,0,0,0.0,12,165,13.75,1,3,2,2.0
Graduation,Married,26304.0,1,0,371,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,54,371,6,With_Kids,1,2,Generation_X,0,0,0.0,4,16,4.0,3,1,1,1.6666666666666667
2n Cycle,Married,23559.0,1,0,361,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,50,361,7,With_Kids,1,2,Generation_X,0,0,0.0,9,79,8.777777777777779,3,2,2,2.3333333333333335
Master,Together,38620.0,0,0,414,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,60,414,5,Alone,0,1,Baby_Boomers,0,0,0.0,11,318,28.90909090909091,3,2,3,2.6666666666666665
Graduation,Divorced,81361.0,0,0,124,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,36,124,2,Alone,0,0,Millennials,0,0,0.0,27,778,28.814814814814813,5,5,4,4.666666666666667
Graduation,Married,29440.0,1,1,322,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,63,322,8,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,7,56,8.0,3,1,2,2.0
Master,Married,36138.0,1,1,348,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,53,348,7,With_Kids_and_Teens,1,3,Generation_X,1,1,16.666666666666664,13,151,11.615384615384615,3,3,2,2.6666666666666665
Graduation,Single,50388.0,0,1,32,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,66,32,5,With_Teens,1,1,Baby_Boomers,3,1,50.0,17,372,21.88235294117647,5,3,3,3.6666666666666665
Graduation,Married,79593.0,0,0,48,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,50,48,5,Alone,0,1,Generation_X,1,1,16.666666666666664,19,1366,71.89473684210526,5,4,5,4.666666666666667
Graduation,Together,54178.0,0,1,159,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,56,159,1,With_Teens,1,2,Generation_X,0,0,0.0,10,194,19.4,4,2,2,2.6666666666666665
PhD,Married,51381.5,2,1,587,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,66,587,11,Alone,1,4,Baby_Boomers,0,0,0.0,29,603,20.79310344827586,1,5,3,3.0
Graduation,Single,51381.5,1,1,33,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,66,33,5,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,4,18,4.5,5,1,1,2.3333333333333335
Master,Together,51381.5,0,0,218,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,50,218,11,Alone,0,1,Generation_X,0,0,0.0,15,985,65.66666666666667,4,3,4,3.6666666666666665
Master,Single,42394.0,1,0,98,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,51,98,3,With_Kids,1,1,Generation_X,0,0,0.0,5,32,6.4,5,1,1,2.3333333333333335
PhD,Married,23626.0,1,0,36,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,53,36,5,With_Kids,1,2,Generation_X,0,0,0.0,10,43,4.3,5,2,1,2.6666666666666665
Graduation,Married,30096.0,1,0,38,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,40,38,5,With_Kids,1,2,Millennials,0,0,0.0,6,45,7.5,5,1,1,2.3333333333333335
Graduation,Widow,47916.0,0,1,584,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,63,584,11,With_Teens,1,1,Baby_Boomers,1,1,16.666666666666664,22,606,27.545454545454547,1,4,3,2.6666666666666665
Graduation,Divorced,51813.0,1,1,444,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,51,444,4,With_Kids_and_Teens,1,2,Generation_X,0,0,0.0,7,63,9.0,2,1,2,1.6666666666666667
2n Cycle,Married,78497.0,0,0,210,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,72,210,12,Alone,0,1,Baby_Boomers,1,1,16.666666666666664,25,978,39.12,4,5,4,4.333333333333333
PhD,Married,50150.0,0,0,374,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,40,374,6,Alone,0,1,Millennials,0,0,0.0,16,410,25.625,3,3,3,3.0
2n Cycle,Single,47823.0,0,1,341,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,63,341,7,With_Teens,1,1,Baby_Boomers,0,0,0.0,7,72,10.285714285714286,3,1,2,2.0
PhD,Single,34554.0,0,1,91,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,64,91,3,With_Teens,1,1,Baby_Boomers,0,0,0.0,7,55,7.857142857142857,5,1,1,2.3333333333333335
Graduation,Together,85693.0,0,1,435,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,44,435,4,With_Teens,1,2,Generation_X,0,0,0.0,27,1169,43.2962962962963,2,5,4,3.6666666666666665
PhD,Married,65846.0,0,0,408,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,78,408,5,Alone,0,1,Silent_Generation,0,0,0.0,16,1120,70.0,3,3,4,3.3333333333333335
Basic,Together,24594.0,1,0,201,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,44,201,12,With_Kids,1,2,Generation_X,0,0,0.0,5,29,5.8,4,1,1,2.0
Graduation,Married,49096.0,1,1,278,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,59,278,9,With_Kids_and_Teens,1,3,Baby_Boomers,0,0,0.0,13,187,14.384615384615385,4,3,2,3.0
Graduation,Married,52413.0,0,2,512,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,54,512,2,Alone,1,3,Generation_X,0,0,0.0,26,910,35.0,2,5,4,3.6666666666666665
Graduation,Single,38557.0,1,0,557,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,45,557,12,With_Kids,1,1,Generation_X,0,0,0.0,9,145,16.11111111111111,2,2,2,2.0
Master,Married,89058.0,0,0,569,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,63,569,12,Alone,0,1,Baby_Boomers,0,0,0.0,14,850,60.714285714285715,1,3,4,2.6666666666666665
Graduation,Together,77298.0,0,1,239,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,44,239,11,With_Teens,1,2,Generation_X,0,0,0.0,24,969,40.375,4,5,4,4.333333333333333
PhD,Single,68126.0,0,0,596,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,32,596,11,Alone,0,0,Millennials,2,1,33.33333333333333,17,1820,107.05882352941177,1,3,5,3.0
Master,Together,57288.0,0,1,4,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,60,4,6,With_Teens,1,2,Baby_Boomers,1,1,16.666666666666664,20,608,30.4,5,4,3,4.0
Graduation,Single,86037.0,0,0,543,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,32,543,1,Alone,0,0,Millennials,3,1,50.0,25,730,29.2,2,5,4,3.6666666666666665
PhD,Married,43974.0,1,0,564,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,43,564,12,With_Kids,1,2,Generation_X,0,0,0.0,21,551,26.238095238095237,2,4,3,3.0
Graduation,Single,50785.0,1,1,292,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,61,292,9,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,8,114,14.25,3,2,2,2.3333333333333335
Graduation,Married,90765.0,0,0,156,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,53,156,1,Alone,0,1,Generation_X,2,1,33.33333333333333,15,1724,114.93333333333334,4,3,5,4.0
2n Cycle,Married,36550.0,1,0,495,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,45,495,2,With_Kids,1,2,Generation_X,0,0,0.0,20,577,28.85,2,4,3,3.0
2n Cycle,Together,30753.0,1,1,353,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,56,353,7,With_Kids_and_Teens,1,3,Generation_X,0,0,0.0,7,81,11.571428571428571,3,1,2,2.0
Graduation,Together,21918.0,1,0,227,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,54,227,11,With_Kids,1,2,Generation_X,0,0,0.0,7,33,4.714285714285714,4,1,1,2.0
Master,Together,56129.0,0,1,374,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,70,374,6,With_Teens,1,2,Baby_Boomers,0,0,0.0,22,660,30.0,3,4,4,3.6666666666666665
Master,Single,32557.0,1,0,125,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,56,125,2,With_Kids,1,1,Generation_X,1,1,16.666666666666664,9,80,8.88888888888889,5,2,2,3.0
Master,Married,19510.0,2,0,298,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,38,298,9,Alone,1,3,Millennials,0,0,0.0,6,30,5.0,3,1,1,1.6666666666666667
Graduation,Divorced,30992.0,1,0,433,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,47,433,4,With_Kids,1,1,Generation_X,0,0,0.0,5,43,8.6,2,1,1,1.3333333333333333
